#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,01/03/2023,Poor,Heavy,Fair,Sound,Good,
02,02/01/2023,Poor,Moderate,,Sound,Polished,
03,02/01/2023,Poor,Moderate,,Sound,Good,
04,02/09/2023,Poor,Moderate,Excellent,Sound,Good,Replaced anodes
05,03/02/2023,Poor,Moderate,Excellent,Sound,Good,
06,04/11/2023,Poor,Moderate,Excellent,Sound,Good,
07,05/01/2023,Poor,Moderate,"Fair, Good",Sound,Good,
08,06/01/2023,Poor,Moderate,"Fair, Good",Sound,Good,Increasing light barnacle growth
09,07/03/2023,Poor,"Heavy, Moderate",Fair,Sound,Good,
10,08/01/2023,Poor,"Heavy, Moderate","Good, Replaced",Sound,Good,Replaced shaft anode
11,09/11/2023,Poor,"Heavy, Moderate","Fair, Good",Sound,Good,"Bottom paint has failed. Time to repaint. "
12,10/01/2023,Poor,"Heavy, Moderate","Fair, Good",Sound,Good,
13,11/02/2023,Poor,"Heavy, Moderate","Fair, Replaced",Sound,Good,Replaced 7/8” X2 shaft anode
14,12/01/2023,Poor,"Heavy, Moderate","Fair, Good",Sound,Good,
15,01/10/2024,Poor,Minimal,Fair,Sound,Good,
16,02/09/2024,Poor,"Minimal, Moderate","Good, Replaced",Sound,Good,Replaced 7/8” X-2 streamlined shaft anode
17,03/11/2024,Poor,Moderate,"Fair, Good",Sound,Good,
18,04/03/2024,Poor,Moderate,"Fair, Good",Sound,Good,
