#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
01,Fair,01/03/2023,Heavy,,Poor,Good,Sound
02,,02/01/2023,Moderate,,Poor,Polished,Sound
03,,02/01/2023,Moderate,,Poor,Good,Sound
04,Excellent,02/09/2023,Moderate,Replaced anodes,Poor,Good,Sound
05,Excellent,03/02/2023,Moderate,,Poor,Good,Sound
06,Excellent,04/11/2023,Moderate,,Poor,Good,Sound
07,"Fair, Good",05/01/2023,Moderate,,Poor,Good,Sound
08,"Fair, Good",06/01/2023,Moderate,Increasing light barnacle growth,Poor,Good,Sound
09,Fair,07/03/2023,"Heavy, Moderate",,Poor,Good,Sound
10,"Good, Replaced",08/01/2023,"Heavy, Moderate",Replaced shaft anode,Poor,Good,Sound
13,"Fair, Replaced",11/02/2023,"Heavy, Moderate",Replaced 7/8” X2 shaft anode,Poor,Good,Sound
11,"Fair, Good",09/11/2023,"Heavy, Moderate","Bottom paint has failed. Time to repaint. ",Poor,Good,Sound
12,"Fair, Good",10/01/2023,"Heavy, Moderate",,Poor,Good,Sound
14,"Fair, Good",12/01/2023,"Heavy, Moderate",,Poor,Good,Sound
15,Fair,01/10/2024,Minimal,,Poor,Good,Sound
16,"Good, Replaced",02/09/2024,"Minimal, Moderate",Replaced 7/8” X-2 streamlined shaft anode,Poor,Good,Sound
17,"Fair, Good",03/11/2024,Moderate,,Poor,Good,Sound
18,"Fair, Good",04/03/2024,Moderate,,Poor,Good,Sound
