#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
14,"Fair, Good",09/09/2024,Minimal,,,Excellent,Good,Sound
01,Fair,04/09/2023,Heavy,,,"Fair, Good",Good,Sound
02,Fair,05/05/2023,Moderate,,,Fair,Good,Sound
04,Good,07/06/2023,"Minimal, Moderate",,,"Fair, Poor",Good,Sound
05,Good,08/04/2023,"Minimal, Moderate",,,"Fair, Poor",Good,Sound
03,Fair,06/03/2023,Moderate,,"Paddlewheel appears to be installed out of alignment. ","Fair, Poor",Good,Sound
06,Fair,09/09/2023,Moderate,,,"Fair, Poor",Good,Sound
07,Fair,10/05/2023,Moderate,,,"Fair, Poor",Good,Sound
09,Fair,12/06/2023,Moderate,,"Would be time to replace shaft anode on next service. ","Fair, Poor",Good,Sound
10,"Fair, Replaced",01/09/2024,Moderate,,Installed 1” heavy streamlined shaft anode,"Fair, Poor",Good,Sound
08,Good,11/05/2023,Moderate,,,"Fair, Poor",Good,Sound
11,Excellent,02/09/2024,"Minimal, Moderate",,"Paint wearing through in several areas. Bottom in need of repainting. ","Missing, Poor",Good,Sound
13,Good,07/10/2024,Minimal,,,Excellent,Good,Sound
12,Good,03/05/2024,"Minimal, Moderate",,"Widespread embedded black algae in paint, indicative of anti-fouling properties failure. Cleaning will involve removing surface growth only to preserve paint coverage. ","Missing, Poor",Good,Sound
15,"Fair, Good",11/11/2024,Minimal,,,Excellent,Good,Sound
16,"Fair, Good",01/16/2025,"Minimal, Moderate",,,Excellent,Good,Sound
17,"Fair, Good",03/24/2025,"Minimal, Moderate",,,"Excellent, Good",Good,Sound
18,"Good, Missing",05/15/2025,"Minimal, Moderate",,Will return with prop anode,"Excellent, Good",Good,Sound
19,"Good, Replaced",07/08/2025,"Minimal, Moderate",,Installed 63mm Maxprop zinc anode,"Excellent, Good",Good,Sound
