#,Date,Secondary Visit,Time In,Time Out,Duration,Time Base Fee,Xtra Minutes,$ Time,# Installed,Materials,Adjustments,Total,Monthly
10,,No,,,0,,0,$0.00,,,,,
09,,No,1540,,-940,,0,$0.00,,,,,
08,"January 13, 2025",No,1355,1415,20,,0,$0.00,,,,,
07,"October 18, 2024",No,1207,1225,18,,0,$0.00,,,,,
06,,No,1419,1440,21,,1,$2.00,,,,,
04,,No,1350,1411,21,,1,$2.00,,,,,
05,,No,1708,1727,19,,0,$0.00,,,,,
03,,No,1024,1052,28,,8,$16.00,,,,,
02,,No,1733,1753,20,,0,$0.00,,,,,
01,,No,1537,1558,21,,1,$2.00,,,,,
