#,Date,Secondary Visit,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Replaced
01,08/05/2023,No,"Fair, Poor",Heavy,None,None,None,,
02,10/05/2023,No,Good,Moderate,None,None,None,,
03,02/21/2024,No,Excellent,Minimal,None,None,None,Everything is looking great!,
04,04/03/2024,No,Excellent,Minimal,None,None,None,,
05,06/07/2024,No,Excellent,Minimal,None,None,None,,
06,08/09/2024,No,Excellent,Minimal,None,None,None,,
07,10/05/2024,No,Excellent,Minimal,None,None,None,,
08,12/06/2024,No,Excellent,Minimal,None,None,None,,
09,02/17/2025,No,Good,Minimal,None,None,None,,
10,04/17/2025,No,"Fair, Good",Moderate,None,None,None,,
11,07/08/2025,No,"Fair, Good",Moderate,None,None,None,,
12,09/22/2025,No,"Fair, Good",Moderate,None,None,None,,
