#,Anodes,Date,Growth,Notes,Paint,Prop,Replaced,Secondary Visit,Thru-hulls
01,None,08/05/2023,Heavy,,"Fair, Poor",None,,No,None
02,None,10/05/2023,Moderate,,Good,None,,No,None
03,None,02/21/2024,Minimal,Everything is looking great!,Excellent,None,,No,None
04,None,04/03/2024,Minimal,,Excellent,None,,No,None
05,None,06/07/2024,Minimal,,Excellent,None,,No,None
06,None,08/09/2024,Minimal,,Excellent,None,,No,None
07,None,10/05/2024,Minimal,,Excellent,None,,No,None
08,None,12/06/2024,Minimal,,Excellent,None,,No,None
09,None,02/17/2025,Minimal,,Good,None,,No,None
10,None,04/17/2025,Moderate,,"Fair, Good",None,,No,None
11,None,07/08/2025,Moderate,,"Fair, Good",None,,No,None
12,None,09/22/2025,Moderate,,"Fair, Good",None,,No,None
