#,Interval,Date,Secondary Visit,Time In,Time Out,Duration,Base Fee,Xtra Minutes,$ Time,$ Materials,Adjustments,Total,Monthly
01,1,01/06/2023,No,1200,1223,23,$99.00,3,$6.00,,,$105.00,$105.00
02,1,02/03/2023,No,1120,1139,19,$99.00,0,$0.00,,,$99.00,$99.00
03,1,03/03/2023,No,1439,1457,18,$99.00,0,$0.00,,,$99.00,$99.00
04,1,04/07/2023,No,1140,1158,18,$99.00,0,$0.00,,,$99.00,$99.00
06,1,05/04/2023,No,1405,1426,21,$99.00,1,$2.00,,,$101.00,$101.00
05,1,06/02/2023,No,1117,1140,23,$99.00,3,$6.00,,,$105.00,$105.00
07,1,07/06/2023,No,1153,1217,24,$99.00,4,$8.00,,,$107.00,$107.00
08,1,08/04/2023,No,1105,1127,22,$99.00,2,$4.00,,,$103.00,$103.00
09,1,09/08/2023,No,1107,1128,21,$99.00,1,$2.00,,,$101.00,$101.00
10,1,10/06/2023,No,1215,1259,44,$99.00,24,$48.00,,,$147.00,$147.00
11,1,01/10/2024,No,1251,1302,11,$99.00,0,$0.00,,,$99.00,$99.00
12,1,02/06/2024,No,1145,1157,12,$99.00,0,$0.00,,,$99.00,$99.00
13,1,03/01/2024,No,1303,1315,12,$99.00,0,$0.00,,,$99.00,$99.00
14,1,04/05/2024,No,1257,1312,15,$99.00,0,$0.00,,,$99.00,$99.00
15,1,05/03/2024,No,1444,1457,13,$99.00,0,$0.00,,,$99.00,$99.00
16,1,06/07/2024,No,1424,1436,12,$99.00,0,$0.00,,,$99.00,$99.00
17,1,07/12/2024,No,1341,1353,12,$99.00,0,$0.00,,,$99.00,$99.00
18,1,08/09/2024,No,1425,1437,12,$99.00,0,$0.00,,,$99.00,$99.00
19,1,09/26/2024,No,1408,1425,17,$99.00,0,$0.00,,,$99.00,$99.00
20,1,11/08/2024,No,1318,1330,12,$99.00,0,$0.00,,,$99.00,$99.00
22,1,12/06/2024,No,1310,1316,6,$99.00,0,$0.00,,,$99.00,$99.00
23,,01/22/2025,No,1256,1309,13,$99.00,0,$0.00,,,$99.00,$0.00
24,,02/17/2025,No,1300,1310,10,$99.00,0,$0.00,,,$99.00,$0.00
26,,04/17/2025,No,1222,1236,14,$99.00,0,$0.00,,,$99.00,$0.00
27,,06/06/2025,No,1220,1238,18,$99.00,0,$0.00,,,$99.00,$0.00
28,,08/06/2025,No,1247,1255,8,$99.00,0,$0.00,,,$99.00,$0.00
29,,09/22/2025,No,1650,1701,11,$99.00,0,$0.00,,,$99.00,$0.00
30,,10/14/2025,No,1425,1434,9,$99.00,0,$0.00,,,$99.00,$0.00
