#,Anodes,Date,Growth,Interval,Notes,Paint,Prop,Thru-hulls
01,None,01/06/2023,Minimal,1,Paint is in excellent condition overall. No issues noted.,Excellent,None,Sound
02,None,02/03/2023,Minimal,1,"The paint is worn away on all the edges of the rudder, and there is little to no paint on the underside of the keel (quite common). No other issues observed",Excellent,None,Sound
03,None,03/03/2023,Minimal,1,The paint remains in excellent condition overall.,Excellent,None,Sound
04,None,04/07/2023,Minimal,1,,Excellent,None,Sound
06,None,05/04/2023,Minimal,1,,Excellent,None,Sound
05,None,06/02/2023,Minimal,1,,Excellent,None,Sound
08,None,08/04/2023,Minimal,1,,"Excellent, Good",None,Sound
07,None,07/06/2023,Minimal,1,,Excellent,None,Sound
09,,09/08/2023,Minimal,1,"Small blisters along forward waterline and forward starboard side of keel. ",Excellent,None,Sound
10,None,10/06/2023,"Minimal, Moderate",1,,"Excellent, Good",None,Sound
12,None,02/06/2024,Minimal,1,,Excellent,None,Sound
11,None,01/10/2024,Minimal,1,,Excellent,None,Sound
13,None,03/01/2024,Minimal,1,,Excellent,None,Sound
14,None,04/05/2024,Minimal,1,,Excellent,None,Sound
15,None,05/03/2024,Minimal,1,,Excellent,None,Sound
16,None,06/07/2024,Minimal,1,,Excellent,None,Sound
17,None,07/12/2024,Minimal,1,,Excellent,None,Sound
18,None,08/09/2024,Minimal,1,,Excellent,None,Sound
19,None,09/09/2024,Minimal,1,,"Excellent, Good",None,Sound
20,None,09/26/2024,Minimal,1,,"Excellent, Good",None,Sound
21,None,11/08/2024,Minimal,1,,"Excellent, Good",None,Sound
22,None,12/06/2024,Minimal,,,"Excellent, Good",None,Sound
23,None,01/22/2025,Minimal,,,Excellent,None,Sound
24,None,02/17/2025,Minimal,,"Waterline is trimmed down by the bow. ",Excellent,None,Sound
25,None,03/17/2025,Minimal,,"Waterline is trimmed down by the bow. ",Excellent,None,Sound
26,None,04/17/2025,"Minimal, Moderate",,Small blisters appearing along starboard side near waterline,"Excellent, Fair",None,Sound
27,None,06/06/2025,Moderate,,Blisters and waterline trim persist,"Fair, Good",None,Sound
28,None,08/06/2025,Minimal,,,Excellent,None,Sound
29,None,09/22/2025,Minimal,,,Excellent,None,Sound
30,None,10/13/2025,Minimal,,,Excellent,None,Sound
