#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
05,Good,04/02/2024,Moderate,,,Missing,Good,Sound
11,Fair,10/01/2024,Moderate,,,Missing,Good,Sound
07,Fair,06/13/2024,"Heavy, Moderate",,,Missing,Good,Sound
04,Fair,03/11/2024,Moderate,,,Missing,Good,Sound
02,Replaced,01/09/2024,Moderate,,Installed prop nut A. Please check that the rudder clears.,Missing,Good,Sound
09,Good,08/09/2024,Heavy,,,Missing,Good,Sound
03,Good,02/07/2024,Moderate,,,Missing,Good,Sound
06,Fair,05/06/2024,Moderate,,,Missing,Good,Sound
01,Missing,12/01/2023,Severe,,"Severe growth throughout, no paint remaining beneath. No anodes present, metal in good condition. Will source prop and shaft anodes and return. Please secure helm to one side for installation of prop anode. ",Missing,Good,Sound
10,Fair,09/10/2024,Heavy,,,Missing,Good,Sound
08,Replaced,07/12/2024,Heavy,,,Missing,Good,Sound
12,Fair,11/13/2024,Moderate,,,Missing,Good,Sound
13,Fair,12/11/2024,Moderate,,,Missing,Good,Sound
14,Fair,01/16/2025,Moderate,,,Missing,Good,Sound
15,Fair,02/20/2025,Moderate,,,Missing,Good,Sound
16,Fair,03/25/2025,Moderate,,,Missing,Good,Sound
17,Fair,04/18/2025,Heavy,,,Missing,Good,Sound
18,Fair,05/13/2025,Heavy,,,Missing,Good,Sound
19,Fair,06/09/2025,Heavy,,,Missing,Good,Sound
20,Fair,07/16/2025,Heavy,,,Missing,Good,Sound
21,Fair,08/13/2025,Heavy,,,Missing,Good,Sound
22,Fair,09/18/2025,"Heavy, Severe",,Please secure helm to one side for anode replacement,Missing,Good,Sound
23,Missing,10/20/2025,Heavy,,,Missing,Good,Sound
