#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
,,,,,,,,
02,Replaced,01/09/2024,Moderate,,Installed prop nut A. Please check that the rudder clears.,Missing,Good,Sound
01,Missing,12/01/2023,Severe,,"Severe growth throughout, no paint remaining beneath. No anodes present, metal in good condition. Will source prop and shaft anodes and return. Please secure helm to one side for installation of prop anode. ",Missing,Good,Sound
05,Good,04/02/2024,Moderate,,,Missing,Good,Sound
06,Fair,05/06/2024,Moderate,,,Missing,Good,Sound
04,Fair,03/11/2024,Moderate,,,Missing,Good,Sound
03,Good,02/07/2024,Moderate,,,Missing,Good,Sound
09,Good,08/09/2024,Heavy,,,Missing,Good,Sound
07,Fair,06/13/2024,"Heavy, Moderate",,,Missing,Good,Sound
08,Replaced,07/12/2024,Heavy,,,Missing,Good,Sound
10,Fair,09/10/2024,Heavy,,,Missing,Good,Sound
