#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Fair,32,Paint on keel mostly missing. Will polish prop and replace second shaft anode on next visit. One shaft anode missing.,"Fair, Poor",Good,Sound,1200,1232
02,Good,35,,"Fair, Poor",Good,Sound,1347,1422
03,Fair,50,"Anode change next visit. Increase in barnacle growth throughout. ","Fair, Poor",Good,Sound,1517,1607
05,Fair,31,"1 1/8” shaft anodes (2x) to be replaced next service. Paint looks great! ",Excellent,Good,Sound,1415,1446
04,Excellent,26,,Excellent,Good,Sound,1310,1336
06,Good,23,,Excellent,Polished,Sound,1241,1304
07,"Good, Replaced",38,"Installed 1 x 1-1/8” heavy streamlined shaft anode. Heavy barnacle growth occurring on bottom of keel. ","Excellent, Good",Polished,Sound,1451,1529
06,Replaced,29,Installed 2 x 1-1/8” heavy streamlined shaft anodes,Excellent,Polished,Sound,1533,1602
08,,33,,,,,1407,1440
09,,39,,,,,1430,1509
10,,26,,,,,1317,1343
11,,39,,,,,1211,1250
13,,-830,,,,,1350,
