#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Fair,01/07/2023,"Heavy, Moderate",,Paint on keel mostly missing. Will polish prop and replace second shaft anode on next visit. One shaft anode missing.,"Fair, Poor",Good,Sound
03,Fair,05/05/2023,"Heavy, Moderate",,"Anode change next visit. Increase in barnacle growth throughout. ","Fair, Poor",Good,Sound
02,Good,03/04/2023,Moderate,,,"Fair, Poor",Good,Sound
06,Good,03/05/2024,Minimal,,,Excellent,Polished,Sound
04,Excellent,09/07/2023,Minimal,,,Excellent,Good,Sound
05,Fair,11/05/2023,Minimal,,"1 1/8” shaft anodes (2x) to be replaced next service. Paint looks great! ",Excellent,Good,Sound
06,Replaced,01/08/2024,Minimal,,Installed 2 x 1-1/8” heavy streamlined shaft anodes,Excellent,Polished,Sound
07,"Good, Replaced",05/01/2024,"Minimal, Moderate",,"Installed 1 x 1-1/8” heavy streamlined shaft anode. Heavy barnacle growth occurring on bottom of keel. ","Excellent, Good",Polished,Sound
08,Good,09/09/2024,"Minimal, Moderate",,,"Excellent, Good",Good,Sound
09,"Fair, Replaced",11/11/2024,Moderate,,"Increasing embedded growth throughout port side paint. Installed heavy duty shaft anode. ","Excellent, Fair",Good,Sound
10,Good,01/16/2025,"Minimal, Moderate",,,"Excellent, Fair",Good,Sound
11,Replaced,03/21/2025,"Heavy, Moderate",2,,"Fair, Good",Good,Sound
12,Replaced,05/15/2025,"Heavy, Moderate",,"Installed 2x heavy duty anodes. The strange anode behavior of eroding from the inside out continues. No recommended solution at this time. ","Fair, Good",Good,Sound
13,Replaced,07/08/2025,Moderate,,Both anodes completely absent. Installed a shaft collar this time.,"Fair, Good",Good,Sound
14,Fair,09/25/2025,Moderate,,"Shaft collar anode was loose, retightened. ","Fair, Good",Good,Sound
