#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Excellent,60,,Excellent,Good,Sound,1200,1300
03,Fair,57,May replace divers dream next visit. Minor damage to forward transducer housing.,Excellent,Good,Sound,1055,1152
04,Fair,50,Transom anode is a ZHC-2,Excellent,Good,Sound,1453,1543
02,Good,47,"Forward transducer on starboard side appears damaged, see video",Excellent,Good,Sound,1216,1303
06,Fair,35,,Good,Good,Sound,1350,1425
05,Fair,49,,Excellent,Good,Sound,1400,1449
07,,35,,Good,Good,"Possible Issue, Sound",1215,1250
08,,0,,,,,,
09,,8,,,,,1530,1538
10,,20,,,,,1432,1452
11,,25,,,,,1156,1221
12,,22,,,,,1151,1213
13,,34,,,,,1415,1449
