#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Excellent,01/08/2023,Minimal,,,Excellent,Good,Sound
02,Good,04/14/2023,Minimal,,"Forward transducer on starboard side appears damaged, see video",Excellent,Good,Sound
03,Fair,07/05/2023,"Minimal, Moderate",,May replace divers dream next visit. Minor damage to forward transducer housing.,Excellent,Good,Sound
05,Fair,01/04/2024,"Minimal, Moderate",,,Excellent,Good,Sound
04,Fair,10/03/2023,"Minimal, Moderate",,Transom anode is a ZHC-2,Excellent,Good,Sound
06,Fair,03/31/2024,"Minimal, Moderate",,,Good,Good,Sound
07,Fair,07/05/2024,Moderate,,,Good,Good,Sound
08,Missing,10/09/2024,Moderate,,Will return to replace Diver’s Dream anode.,Good,Good,Sound
09,Replaced,12/08/2024,Not Evaluated,,"Installed divers dream large ",Not Evaluated,Not Evaluated,Not Evaluated
10,Excellent,01/07/2025,Moderate,,"Paint is beginning to lose antifouling properties
","Fair, Good",Good,Sound
11,Excellent,04/14/2025,Moderate,,,Fair,Good,Sound
12,Excellent,07/10/2025,Moderate,,,Fair,Good,Sound
13,Excellent,10/21/2025,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
