#,Anodes,Date,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Fair,,36,Many small blisters found along the waterline,"Fair, Poor",Good,Sound,1200,1236
02,"Excellent, Good",,37,Strut anode replaced. Larger blisters were observed on the rudder.,"Fair, Poor",Good,Sound,1307,1344
03,Fair,,37,Shaft anode to be replaced on next service,"Fair, Poor",Good,Sound,1536,1613
05,"Fair, Good",,22,,Poor,,Sound,1415,1437
04,Fair,,46,,"Fair, Poor",Good,Sound,1340,1426
06,"Fair, Good",,34,,Poor,,Sound,1449,1523
07,Fair,,30,,"Missing, Poor",Good,Sound,1230,1300
07,"Fair, Good",,39,,Poor,Good,Sound,1315,1354
08,Fair,,17,,"Missing, Poor",Good,Sound,1554,1611
10,Good,,20,,"Missing, Poor",Good,Sound,1428,1448
09,Fair,,27,,"Missing, Poor",Good,Sound,1415,1442
11,Good,,19,,"Missing, Poor",Good,Sound,1333,1352
12,,,22,,,,,1342,1404
14,,,12,,,,,1152,1204
15,,07/08/2025,731,,,,,,1211
