#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/11/2023,"Fair, Poor",Heavy,Fair,Sound,Good,Many small blisters found along the waterline,
02,03/04/2023,"Fair, Poor",Moderate,"Excellent, Good",Sound,Good,Strut anode replaced. Larger blisters were observed on the rudder.,
03,05/03/2023,"Fair, Poor",Moderate,Fair,Sound,Good,Shaft anode to be replaced on next service,
04,07/06/2023,"Fair, Poor",Moderate,Fair,Sound,Good,,
05,09/08/2023,Poor,"Heavy, Moderate","Fair, Good",Sound,,,
06,11/04/2023,Poor,"Heavy, Moderate","Fair, Good",Sound,,,
07,01/09/2024,Poor,"Heavy, Moderate","Fair, Good",Sound,Good,,
07,03/01/2024,"Missing, Poor","Heavy, Moderate",Fair,Sound,Good,,
08,05/03/2024,"Missing, Poor",Heavy,Fair,Sound,Good,,
09,07/15/2024,"Missing, Poor","Heavy, Moderate",Fair,Sound,Good,,
10,09/09/2024,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,,
11,11/08/2024,"Missing, Poor",Moderate,Good,Sound,Good,,
