#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
02,"Excellent, Good",03/04/2023,Moderate,,Strut anode replaced. Larger blisters were observed on the rudder.,"Fair, Poor",Good,Sound
11,Good,11/08/2024,Moderate,,,"Missing, Poor",Good,Sound
06,"Fair, Good",11/04/2023,"Heavy, Moderate",,,Poor,,Sound
10,Good,09/09/2024,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
04,Fair,07/06/2023,Moderate,,,"Fair, Poor",Good,Sound
07,Fair,03/01/2024,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
01,Fair,01/11/2023,Heavy,,Many small blisters found along the waterline,"Fair, Poor",Good,Sound
09,Fair,07/15/2024,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
08,Fair,05/03/2024,Heavy,,,"Missing, Poor",Good,Sound
05,"Fair, Good",09/08/2023,"Heavy, Moderate",,,Poor,,Sound
07,"Fair, Good",01/09/2024,"Heavy, Moderate",,,Poor,Good,Sound
03,Fair,05/03/2023,Moderate,,Shaft anode to be replaced on next service,"Fair, Poor",Good,Sound
