#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,07/04/2023,Excellent,Minimal,Excellent,Sound,Good,,
02,10/08/2023,Excellent,Minimal,Good,Sound,Good,"Some paint flaking off on starboard side of rudder, aft of aperture. ",
03,01/05/2024,Excellent,"Minimal, Moderate","Fair, Good",Sound,Good,"Prop nut may need replacing by next service. ",
04,04/09/2024,Excellent,"Minimal, Moderate","Fair, Good",Sound,Good,I will return to continue work on prop anode,
05,05/16/2024,,,,,,"Prop anode F installed
",
06,09/24/2024,Good,"Heavy, Minimal",Good,Sound,Polished,,
07,12/09/2024,"Fair, Poor",Moderate,Good,Sound,Good,"Damage to a seam, starboard side just below the waterline, aligned with forward edge of aft-most port light. See video. ",
08,03/13/2025,Excellent,Minimal,Good,Sound,Polished,,
09,06/19/2025,"Excellent, Good",Minimal,Good,Sound,Polished,,
10,09/30/2025,Good,"Minimal, Moderate",Replaced,Sound,Polished,Installed prop anode F,1
