#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
03,"Fair, Good",01/05/2024,"Minimal, Moderate",,"Prop nut may need replacing by next service. ",Excellent,Good,Sound
01,Excellent,07/04/2023,Minimal,,,Excellent,Good,Sound
02,Good,10/08/2023,Minimal,,"Some paint flaking off on starboard side of rudder, aft of aperture. ",Excellent,Good,Sound
04,"Fair, Good",04/09/2024,"Minimal, Moderate",,I will return to continue work on prop anode,Excellent,Good,Sound
05,,05/16/2024,,,"Prop anode F installed
",,,
06,Good,09/24/2024,"Heavy, Minimal",,,Good,Polished,Sound
07,Good,12/09/2024,Moderate,,"Damage to a seam, starboard side just below the waterline, aligned with forward edge of aft-most port light. See video. ","Fair, Poor",Good,Sound
08,Good,03/13/2025,Minimal,,,Excellent,Polished,Sound
09,Good,06/19/2025,Minimal,,,"Excellent, Good",Polished,Sound
10,Replaced,09/30/2025,"Minimal, Moderate",1,Installed prop anode F,Good,Polished,Sound
