#,Anodes,Duration,Interval,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,None,19,2,,Excellent,None,Sound,1730,1749
02,None,20,2,,Excellent,None,Sound,1621,1641
04,None,20,2,,Excellent,None,Sound,1725,1745
03,None,19,2,,Excellent,None,Sound,1134,1153
05,None,15,2,,Excellent,None,Sound,1225,1240
06,None,15,2,,"Excellent, Good",None,Sound,1258,1313
07,None,15,2,,Good,None,Sound,1440,1455
08,None,10,2,,Good,None,Sound,1327,1337
09,,10,2,,,,,1200,1210
10,,13,2,,,,,1407,1420
11,,956,,,,,,,1556
