#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,None,03/04/2023,Minimal,,,Excellent,None,Sound
02,None,05/01/2023,Minimal,,,Excellent,None,Sound
05,None,11/02/2023,Minimal,,,Excellent,None,Sound
03,None,07/02/2023,Minimal,,,Excellent,None,Sound
04,None,09/06/2023,Minimal,,,Excellent,None,Sound
06,None,01/07/2024,"Minimal, Moderate",,,"Excellent, Good",None,Sound
08,None,05/07/2024,"Minimal, Moderate",,,Good,None,Sound
07,None,03/04/2024,"Minimal, Moderate",,,Good,None,Sound
09,None,09/14/2024,"Heavy, Moderate",,,Fair,None,Sound
10,None,11/25/2024,"Heavy, Moderate",,,Fair,None,Sound
11,None,01/16/2025,Moderate,,,Fair,None,Sound
12,None,03/25/2025,Moderate,,,Fair,None,Sound
13,None,05/15/2025,Moderate,,,Fair,None,Sound
14,None,07/18/2025,"Heavy, Moderate",,,"Fair, Poor",None,Sound
15,None,09/18/2025,"Heavy, Moderate",,,"Fair, Poor",None,Sound
