#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Good,0,"The prop nut anode is in poor condition and will be replaced on the next service.The paint is worn through along the edges of the keel and rudder, thru-hulls and transducer. There are multiple layers of paint missing in a 3” x 3” patch extending from the grounding plate on forward starboard side. Small osmotic blisters observed on rudder and hull along the waterline. ",Fair,"Good, Polished",Sound,,
06,"Good, Replaced",49,"Installed prop nut anode C. ","Fair, Poor",Good,Sound,1212,1301
03,"Fair, Good",25,"Some paint chips missing along waterline, heavy growth starting in these areas. Will replace shaft anode on next service. Visibility very poor, may have missed a spot or two ","Fair, Poor",Good,Sound,1312,1337
02,"Excellent, Fair",35,"Replaced prop nut, shaft on next service",Fair,Good,Sound,1252,1327
05,"Fair, Good",46,Prop anode to be replaced on next service,"Fair, Poor",Good,Sound,1125,1211
04,"Fair, Replaced",34,Installed shaft anode,"Fair, Poor",Good,Sound,1532,1606
07,"Fair, Good",14,,Excellent,Good,Sound,1551,1605
08,"Fair, Good",13,,Excellent,Good,Sound,1347,1400
09,,13,,,,,1417,1430
10,,13,,,,,1305,1318
11,,16,,,,,1409,1425
12,,0,,,,,,
13,,0,,,,,,
