#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Good,02/02/2023,"Minimal, Moderate",,"The prop nut anode is in poor condition and will be replaced on the next service.The paint is worn through along the edges of the keel and rudder, thru-hulls and transducer. There are multiple layers of paint missing in a 3” x 3” patch extending from the grounding plate on forward starboard side. Small osmotic blisters observed on rudder and hull along the waterline. ",Fair,"Good, Polished",Sound
06,"Good, Replaced",12/10/2023,Moderate,,"Installed prop nut anode C. ","Fair, Poor",Good,Sound
02,"Excellent, Fair",04/06/2023,"Minimal, Moderate",,"Replaced prop nut, shaft on next service",Fair,Good,Sound
04,"Fair, Replaced",08/01/2023,"Heavy, Moderate",,Installed shaft anode,"Fair, Poor",Good,Sound
07,"Fair, Good",05/14/2024,Minimal,,,Excellent,Good,Sound
03,"Fair, Good",06/01/2023,"Heavy, Moderate",,"Some paint chips missing along waterline, heavy growth starting in these areas. Will replace shaft anode on next service. Visibility very poor, may have missed a spot or two ","Fair, Poor",Good,Sound
08,"Fair, Good",07/05/2024,Minimal,,,Excellent,Good,Sound
05,"Fair, Good",10/01/2023,"Heavy, Moderate",,Prop anode to be replaced on next service,"Fair, Poor",Good,Sound
09,"Fair, Good",09/21/2024,Minimal,,,Excellent,Good,Sound
10,"Fair, Good",11/15/2024,Minimal,,,Excellent,Good,Sound
11,"Good, Replaced",01/23/2025,Minimal,,Installed prop nut anode C,Excellent,Good,Sound
12,Good,03/13/2025,Minimal,,,Excellent,Good,Sound
13,Good,05/13/2025,Minimal,,,Excellent,Good,Sound
14,Good,07/18/2025,Minimal,,,Excellent,Good,Sound
15,Good,09/22/2025,Minimal,,,Excellent,Good,Sound
