#,Date,Secondary Visit,Time In,Time Out,Duration,Time Base Fee,Xtra Minutes,$ Time,# Installed,Materials,Adjustments,Total,Monthly
,,No,,,0,,0,,,,,,
01,,No,1445,1515,30,,10,,,,$0.00,,
02,,No,1130,1208,38,,18,,,,$0.00,,
03,,No,1510,1544,34,,14,,,,$0.00,,
04,,No,1540,1607,27,,7,,,,$0.00,,
05,,No,1454,1530,36,,16,,,,$0.00,,
06,,No,1440,1519,39,,19,,,,$0.00,,
07,,No,1323,1345,22,,2,,,,,,
08,,No,1221,1242,21,,1,,,,,,
09,,No,1334,1353,19,,0,,,,,,
10,,No,1513,1534,21,,1,,,,,,
12,,No,1520,,-920,,0,,,,,,
