#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Fair,10,"I will order 4 x 6” trim tab, 4 x 2” streamline shaft, 1 or 2 thrusters (tiny trim tabs style), and return next week to install and remove barnacles on running gear. Measurements in video",Excellent,Good,Sound,1724,1734
02,"Fair, Replaced",109,"Thruster anodes at 80-90%. Unable to remove thruster anodes until they deteriorate further.  Transom anode to be replaced next month. Replaced all four shaft anodes. Did not replace trim tab anodes, monitoring until next service. ","Excellent, Fair",Good,Sound,1209,1358
03,"Excellent, Fair",130,"Replaced stern thruster anodes. Forward thruster anodes in good to fair condition, port and starboard, respectively. Trim tab anodes to be rotated top to bottom on next service. Shaft anodes excellent to good. Removed lots of hard growth from running gear, light to moderate growth on rest of hull.  ",Excellent,Good,Sound,1405,1615
04,"Excellent, Fair",59,Trim tab anodes in fair condition. Try to run the thrusters a little each month to keep internal growth down. Switching to three months was a good move!,Excellent,Good,Sound,1250,1349
05,"Fair, Good",47,"Will replace trim tab and divers dream transom plate on next service. ",Excellent,Good,Sound,1410,1457
06,"Fair, Good",56,,Good,Good,Sound,1300,1356
07,,60,,,,,1345,1445
08,,54,,,,,1159,1253
09,,43,,,,,1230,1313
10,,56,,,,,1115,1211
11,,64,,,,,1333,1437
