#,Date,Interval,Time In,Time Out,Duration,Xtra Minutes,$ Time,Secondary Visit,Adjustments,Base Fee,$ Materials,Total,Monthly
01,02/05/2023,2,1455,1545,50,30,$60.00,No,,$99.00,,$159.00,$79.00
02,02/06/2023,2,1035,1049,14,14,$28.00,Yes,,$99.00,,$28.00,$14.00
03,02/16/2023,2,1236,1254,18,18,$36.00,Yes,,$99.00,,$36.00,$18.00
04,03/04/2023,2,1054,1126,32,12,$24.00,No,,$99.00,,$123.00,$61.00
05,04/11/2023,2,1620,1653,33,13,$26.00,No,,$99.00,,$125.00,$62.00
06,06/03/2023,2,1056,1136,40,20,$40.00,No,,$99.00,,$139.00,$69.00
07,08/03/2023,2,1427,1501,34,14,$28.00,No,,$99.00,,$127.00,$63.00
08,10/05/2023,2,1215,1248,33,13,$26.00,No,,$99.00,,$125.00,$62.00
09,12/04/2023,2,1136,1215,39,19,$38.00,No,,$99.00,,$137.00,$68.00
10,02/08/2024,2,1547,1624,37,17,$34.00,No,,$99.00,,$133.00,$66.00
11,02/09/2024,2,1429,1452,23,23,$46.00,Yes,,$99.00,,$46.00,$23.00
12,04/05/2024,2,1314,1342,28,8,$16.00,No,,$99.00,,$115.00,$57.00
13,06/14/2024,2,1338,1402,24,4,$8.00,No,,$99.00,,$107.00,$53.00
14,08/13/2024,2,1330,1359,29,9,$18.00,No,,$99.00,,$117.00,$58.00
15,10/08/2024,2,1120,1153,33,13,$26.00,No,,$99.00,,$125.00,$62.00
