#,Interval,Date,Secondary Visit,Time In,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Time Out,Duration,Base Fee,Xtra Minutes,$ Time,$ Materials,Adjustments,Total,Monthly
01,2,01/06/2023,No,1200,Excellent,Moderate,Good,Sound,None,"Some cracking along the axis of the rudder post
Paint chip appears to be missing on the port aft quarter in two locations",1224,24,$99.00,4,$8.00,,,$107.00,$53.00
02,2,03/02/2023,No,1640,Excellent,Minimal,Good,Sound,None,,1655,15,$99.00,0,$0.00,,,$99.00,$49.00
03,2,05/02/2023,No,1448,Excellent,Minimal,Good,Sound,None,,1513,25,$99.00,5,$10.00,,,$109.00,$54.00
04,2,07/01/2023,No,1128,Excellent,Minimal,Good,Sound,None,,1159,31,$99.00,11,$22.00,,,$121.00,$60.00
05,2,09/06/2023,No,1556,Excellent,Minimal,Good,Sound,None,,1621,25,$99.00,5,$10.00,,,$109.00,$54.00
06,2,11/02/2023,No,1041,"Excellent, Good",Minimal,Good,Sound,None,,1104,23,$99.00,3,$6.00,,,$105.00,$52.00
07,2,01/07/2024,No,1233,"Excellent, Good","Minimal, Moderate",Good,Sound,None,,1253,20,$99.00,0,$0.00,,,$99.00,$49.00
08,2,03/08/2024,No,1420,Good,"Minimal, Moderate",Good,Sound,None,,1437,17,$99.00,0,$0.00,$0.00,$0.00,$99.00,$49.00
08,2,05/02/2024,No,1436,Fair,Moderate,Good,Sound,None,,1455,19,$99.00,0,$0.00,,,$99.00,$49.00
09,2,07/12/2024,No,1248,Fair,Moderate,Good,Sound,None,,1303,15,$99.00,0,$0.00,,,$99.00,$49.00
10,2,09/13/2024,No,1200,"Fair, Poor","Heavy, Moderate",Good,Sound,None,,1220,20,$99.00,0,$0.00,,,$99.00,$49.00
