#,Date,Interval,Secondary Visit,Time In,Time Out,Duration,Time Base Fee,Xtra Minutes,$ Time,Growth,Anode,# Installed,Materials,Adjustments,Total,Monthly
17,,,No,1620,1650,30,$99.00,10,$20.00,,,,,,$119.00,$0.00
16,,,No,1358,1425,27,$99.00,7,$14.00,,,,,,$113.00,$0.00
15,,,No,1229,1251,22,$99.00,2,$4.00,,,,,,$103.00,$0.00
14,,,No,,,0,$99.00,0,$0.00,,,,,,$99.00,$0.00
13,,,No,1404,1416,12,$99.00,0,$0.00,,,,,,$99.00,$0.00
12,,2,No,1329,1350,21,$99.00,1,$2.00,,,,,,$101.00,$50.00
11,,2,No,1508,1539,31,$99.00,11,$22.00,,,,,,$121.00,$60.00
10,,2,No,1327,1406,39,$99.00,19,$38.00,,,,,,$137.00,$68.00
09,,2,No,1255,1342,47,$99.00,27,$54.00,,,,,,$153.00,$76.00
07,,2,No,1430,1524,54,$99.00,34,$68.00,,,,,,$167.00,$83.00
08,,2,No,1250,1330,40,$99.00,20,$40.00,,,,,,$139.00,$69.00
06,,2,No,1510,1615,65,$99.00,45,$90.00,,,,,,$189.00,$94.00
03,,2,No,1510,1553,43,$99.00,23,$46.00,,,,,,$145.00,$72.00
04,,2,No,1343,1447,64,$99.00,44,$88.00,,,,,,$187.00,$93.00
05,,2,No,1145,1322,97,$99.00,77,$154.00,,,,,,$253.00,$126.00
02,,2,No,1353,1434,41,$99.00,21,$42.00,,,,,,$141.00,$70.00
01,,2,No,0,101,61,$99.00,41,$82.00,,,,,,$181.00,$90.00
