#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/08/2023,Excellent,Moderate,Good,Sound,Good,,
02,03/05/2023,Excellent,Moderate,Good,Sound,Good,"The keel appears to sit in the mud by about 8”.
Barnacles were widespread on the keel.",
03,05/06/2023,Good,Moderate,Fair,Sound,Good,Widespread small barnacles on lower keel and rudder.,
04,07/05/2023,Good,Moderate,Fair,Sound,Good,,
05,09/10/2023,"Fair, Good","Heavy, Moderate","Good, Replaced",Sound,Good,"Heavy calcium and barnacle buildup on lower keel and rudder from sitting in the mud. Replaced strut anode and 1 prop shaft anode. ",
06,11/08/2023,"Fair, Good","Heavy, Moderate","Excellent, Good",Sound,Good,,
07,01/10/2024,"Fair, Good","Minimal, Moderate","Excellent, Good",Sound,Good,,
08,03/04/2024,"Fair, Good",Minimal,"Fair, Good",Sound,Good,Visibility near zero so after video is not very useful. Like diving in mud!,
09,05/10/2024,Fair,Moderate,"Fair, Good",Sound,Good,,
10,07/10/2024,Fair,"Heavy, Moderate","Fair, Good",Sound,Good,,
11,09/20/2024,Fair,"Heavy, Moderate",Fair,Sound,Good,,
12,11/12/2024,Fair,Moderate,Fair,Sound,Good,,
13,01/08/2025,Fair,"Minimal, Moderate",Fair,Sound,Good,,
14,03/07/2025,Fair,"Minimal, Moderate",Fair,Sound,Good,,
15,05/20/2025,Fair,"Heavy, Moderate",Fair,Sound,Good,,
16,07/16/2025,Fair,"Heavy, Moderate",Fair,Sound,Good,,
17,09/29/2025,Fair,"Heavy, Moderate","Good, Replaced",Sound,Good,Installed shaft anode,
