#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
10,"Fair, Good",07/10/2024,"Heavy, Moderate",,,Fair,Good,Sound
01,Good,01/08/2023,Moderate,,,Excellent,Good,Sound
02,Good,03/05/2023,Moderate,,"The keel appears to sit in the mud by about 8”.
Barnacles were widespread on the keel.",Excellent,Good,Sound
04,Fair,07/05/2023,Moderate,,,Good,Good,Sound
03,Fair,05/06/2023,Moderate,,Widespread small barnacles on lower keel and rudder.,Good,Good,Sound
05,"Good, Replaced",09/10/2023,"Heavy, Moderate",,"Heavy calcium and barnacle buildup on lower keel and rudder from sitting in the mud. Replaced strut anode and 1 prop shaft anode. ","Fair, Good",Good,Sound
06,"Excellent, Good",11/08/2023,"Heavy, Moderate",,,"Fair, Good",Good,Sound
07,"Excellent, Good",01/10/2024,"Minimal, Moderate",,,"Fair, Good",Good,Sound
08,"Fair, Good",03/04/2024,Minimal,,Visibility near zero so after video is not very useful. Like diving in mud!,"Fair, Good",Good,Sound
09,"Fair, Good",05/10/2024,Moderate,,,Fair,Good,Sound
11,Fair,09/20/2024,"Heavy, Moderate",,,Fair,Good,Sound
12,Fair,11/12/2024,Moderate,,,Fair,Good,Sound
13,Fair,01/08/2025,"Minimal, Moderate",,,Fair,Good,Sound
14,Fair,03/07/2025,"Minimal, Moderate",,,Fair,Good,Sound
15,Fair,05/20/2025,"Heavy, Moderate",,,Fair,Good,Sound
16,Fair,07/16/2025,"Heavy, Moderate",,,Fair,Good,Sound
17,"Good, Replaced",09/29/2025,"Heavy, Moderate",,Installed shaft anode,Fair,Good,Sound
