#,Time In,Time Out,Duration
01,1116,1130,14
02,1022,1110,48
03,1047,1127,40
04,1140,1219,39
05,1305,1350,45
06,1506,1548,42
07,1018,1114,56
08,1300,1410,70
09,1141,1230,49
10,1015,1118,63
11,1120,1159,39
12,1422,1453,31
13,1332,1410,38
14,1303,1339,36
15,1246,1310,24
16,1357,1424,27
17,1438,1501,23
18,1348,1415,27
19,1145,1213,28
20,1259,1318,19
21,1331,1347,16
22,1414,1428,14
23,1428,1444,16
24,1413,1431,18
25,1436,1500,24
26,1314,1337,23
27,1447,1500,13
29,1314,1333,19
30,1440,1519,39
