#,Anodes,Duration,Growth,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
10,"Good, Replaced",63,"Minimal, Moderate","Replaced strut anode with 3” trim tab style ",Fair,Good,Sound,1015,1118
07,"Fair, Good",56,Moderate,Additional scrubbing required to remove tenacious growth.,Fair,Good,Sound,1018,1114
11,"Good, Replaced",39,"Minimal, Moderate","Electrolysis beginning on prop. I suspect the anode on the prop shaft has become ineffective for some reason. Installed an additional new 1-1/8” heavy duty streamlined on prop shaft. Let’s see if that improves things. ",Fair,Possible Issue,Sound,1120,1159
09,"Excellent, Fair",49,"Minimal, Moderate","Will replace strut anode (3-4” trimtab style) on next service, and possibly shaft anode as well. ",Fair,Good,Sound,1141,1230
12,Good,31,Minimal,"Very light electrolysis appears to be continuing on the prop. None of my prop anodes fit this prop nut, but I will search around to see if one exists that will. ",Fair,Possible Issue,Sound,1422,1453
01,Good,14,Moderate,Observational visit only. No charge.,"Fair, Good",Good,Sound,1116,1130
05,Good,45,Moderate,,Good,Good,Sound,1305,1350
06,Good,42,Moderate,,"Fair, Good",Polished,Sound,1506,1548
03,Fair,40,"Minimal, Moderate",,"Fair, Good",Good,Sound,1047,1127
08,"Good, Replaced",70,Moderate,"Replaced hull anode, starboard side: Diver’s Dream Mini",Fair,Good,Sound,1300,1410
04,Fair,39,"Minimal, Moderate",,"Excellent, Fair",Good,Sound,1140,1219
13,"Fair, Good",38,Minimal,,Fair,Good,Sound,1332,1410
02,Good,48,Moderate,,"Fair, Good",Good,Sound,1022,1110
14,,36,,,,,,1303,1339
15,,24,Moderate,,,,,1246,1310
16,,27,,,,,,1357,1424
17,,23,,,,,,1438,1501
18,,27,,,,,,1348,1415
19,,28,,,,,,1145,1213
20,,19,,,,,,1259,1318
21,,16,,,,,,1331,1347
22,,14,,,,,,1414,1428
23,,16,,,,,,1428,1444
24,,18,,,,,,1413,1431
25,,24,,,,,,1436,1500
26,,23,,,,,,1314,1337
27,,13,,,,,,1447,1500
29,,19,,,,,,1314,1333
30,,39,,,,,,1440,1519
