#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,04/15/2023,"Fair, Poor",Moderate,Fair,Sound,Good,"Shaft loose in cutlass bearing as noted. Some blisters observed on rudder (visible in video). Widespread embedded black algae indicates anti-fouling properties are failing. Paint is worn through in several areas, including bottom of keel and waterline. Appears to be ablative.",
02,07/04/2023,"Fair, Poor","Heavy, Moderate","Missing, Replaced",Sound,Good,"Shaft loose in cutlass bearing ",
03,10/03/2023,"Fair, Poor",Moderate,Excellent,Possible Issue,Good,Cutlass bearing has excessive play. Recommend replacement.,
04,01/02/2024,Poor,"Heavy, Moderate",Good,Possible Issue,Good,"Starboard cutlass bearing set screw missing. I was able to work the cutlass bearing mostly back into place, but it likely won’t stay without the screw. If you can source it, let me know and I’ll install it. ",
05,03/30/2024,Poor,"Heavy, Moderate",Fair,Sound,Good,,
06,04/25/2024,"Missing, Poor","Heavy, Severe",Fair,Sound,Good,"Forward starboard cockpit drain occluded. Possible thru-hull closure. Paint is providing little to no protection. ",
07,07/03/2024,"Missing, Poor","Heavy, Severe",Fair,Possible Issue,Good,"Found both grub screws are stripped. Cutlass bearing is turning with the prop shaft. I recommend consulting with boat yard ASAP. ",
08,10/05/2024,"Missing, Poor","Heavy, Severe",Fair,Possible Issue,Good,Please see above,
09,01/07/2025,"Missing, Poor",Heavy,Fair,Possible Issue,Good,,
10,04/09/2025,"Missing, Poor",Heavy,Fair,Possible Issue,Good,,
11,09/22/2025,Excellent,Minimal,Good,Sound,None,,
