#,Time In,Time Out,Duration
32,1430,1435,5
30,1400,1410,10
29,1300,1307,7
28,1337,1345,8
25,1205,1210,5
24,1411,1418,7
23,1440,1445,5
22,1200,1207,7
21,1121,1128,7
20,1200,1207,7
19,1235,1245,10
18,1031,1041,10
17,1325,1337,12
16,1410,1423,13
11,1140,1200,20
13,1037,1055,18
12,1340,1404,24
01,1200,1220,20
05,832,845,13
08,1020,1033,13
06,1144,1210,26
15,1301,1318,17
09,914,936,22
04,1116,1133,17
14,1100,1115,15
07,1103,1121,18
03,1122,1135,13
10,1115,1137,22
02,1100,1120,20
