#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,07/05/2023,Fair,Heavy,,Sound,Good,"I will order streamlined shaft 1.75” x 4, trim tab 4”+ x2, divers dream 12” x1. Will return to install these and continue cleaning next week",
02,08/05/2023,Fair,"Heavy, Moderate",Replaced,Sound,Good,"Starboard: added two shaft anodes (old remnants were irremovable) plus one trim-tab anode. Port: Replaced two shaft anodes, plus one trim tab anode. Replaced large plate anode on transom.",
03,10/08/2023,Fair,Heavy,Excellent,Sound,Good,VillaSey was mostly serviced on 10-8 (1400-1500) and completed on 10-9 (1050-1110). Total time is accounted for here.,
04,12/08/2023,"Fair, Poor","Heavy, Severe",Good,Sound,Good,"Calcium buildup on hull around thru hull drains. Heavy growth on running gear. ",
05,02/03/2024,"Fair, Poor","Minimal, Moderate",Good,Sound,Good,,
06,04/08/2024,Poor,"Heavy, Moderate",Good,Sound,Good,"Anit-fouling properties failing. Growth becoming increasingly tenacious. ",
07,06/10/2024,"Fair, Poor","Heavy, Moderate","Fair, Good",Sound,Good,,
08,10/12/2024,Excellent,"Heavy, Minimal",Excellent,Sound,Good,,
09,12/10/2024,Excellent,"Minimal, Moderate",Good,Sound,"Good, Polished",,
10,02/07/2025,Excellent,"Minimal, Moderate",Fair,Sound,Good,,
11,04/14/2025,Good,"Minimal, Moderate",Fair,Sound,Good,Trim tab and prop shaft anodes to be replaced on next service,
12,06/09/2025,Good,"Minimal, Moderate",Replaced,Sound,Good,"Installed shaft and trim tab anodes port and starboard.  ",
13,08/08/2025,Good,"Minimal, Moderate",Good,Sound,Good,,
14,10/16/2025,Good,Moderate,"Good, Missing",Sound,Good,"Will return to install 612 HD Transom plate and (1) R4 trim tab anodes. ",
