#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Fair,03/03/2023,,1,"Removed wrapped line. No cutlass play. Paint failing near waterline. Light horizontal crack along port keel joint. Some gouging into gelcoat around cutlass. Installed a one-inch streamlined shaft anode (MTY-CMX01, $12)","Excellent, Poor",Polished,Sound
02,Replaced,06/06/2023,"Heavy, Minimal",1,"Heavy barnacle gowth around waterline, esp port quarter. Heavy slime above waterline in same area. Installed a one-inch streamlined shaft anode (MTY-CMX01, $12)","Good, Poor",Good,Sound
03,"Fair, Replaced",09/11/2023,"Heavy, Minimal",1,"Heavy slime above bottom paint waterline on port aft quarter. Installed a one-inch streamlined shaft anode (MTY-CMX01, $12)","Good, Poor",Good,Sound
04,"Fair, Replaced",12/06/2023,Moderate,1,"Replaced shaft anode. ","Good, Poor",Good,Sound
05,Replaced,03/04/2024,Moderate,1,"Replaced shaft anode. ","Fair, Poor",Good,Sound
06,Replaced,06/06/2024,"Heavy, Moderate",1,Paint has failed. Time for haulout! Replaced shaft anode.,Poor,Good,Sound
07,Good,09/21/2024,"Heavy, Moderate",,,Poor,Good,Sound
08,Replaced,12/08/2024,"Heavy, Moderate",,,Poor,Good,Sound
09,Good,03/13/2025,"Heavy, Moderate",,,Poor,Good,Sound
10,Good,06/02/2025,Moderate,,"Shaft anode was loose, re-tightened. ","Missing, Poor",Good,Sound
11,Replaced,09/25/2025,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
,,,,,,,,
