#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,"Fair, Good",03/06/2023,Moderate,,Widespread small barnacles,Fair,Good,Sound
04,"Good, Replaced",12/06/2023,Moderate,,"Replaced Autostream prop anode.  I’m ordering a second for your spares inventory, this will be added to this month’s bill. ","Fair, Poor",Good,Sound
02,Good,06/05/2023,Moderate,,"Widespread embedded black algae, indicative of failing anti-fouling properties",Fair,Good,Sound
03,"Fair, Good",09/07/2023,Moderate,,"May need new prop anode on next service. Removed wrapped line or kelp wrapped around prop, see video. Paint required extra scrubbing to remove growth. ","Fair, Poor",Good,Sound
06,Good,06/03/2024,"Heavy, Moderate",,"Paint has become ineffective. Haul out recommended asap. ","Fair, Missing",Good,Sound
05,Good,03/06/2024,"Heavy, Moderate",,"Widespread embedded algae. Propspeed mostly worn away. A haulout is recommended. ","Fair, Poor",Good,Sound
07,"Fair, Good",10/14/2024,Minimal,,,Excellent,Good,Sound
08,"Fair, Good",01/10/2025,Minimal,,"Will probably need prop anode on next service ",Excellent,Good,Sound
09,"Fair, Good",04/03/2025,Minimal,,,Excellent,Good,Sound
10,Fair,07/15/2025,"Minimal, Moderate",,,Good,Good,Sound
11,Needs Replacement,10/22/2025,Moderate,,"Prospered is gone. Will return with anodes (2) shaft, R2, Autostream",Good,Good,Sound
