#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/09/2023,"Fair, Poor","Heavy, Moderate",Fair,Sound,Good,Heavy hard growth,
02,04/13/2023,"Missing, Poor","Heavy, Moderate",Fair,Sound,Good,Heavy hard growth,
03,07/04/2023,Poor,"Heavy, Moderate",Fair,Sound,Good,Heavy hard growth,
04,03/30/2024,Excellent,Minimal,Good,Sound,Polished,,
05,07/03/2024,Excellent,Minimal,Good,Sound,Polished,,
06,10/05/2024,Excellent,Minimal,Good,Sound,Polished,,
07,01/07/2025,"Fair, Good",Moderate,Fair,Sound,Good,"Paint beginning to fail  in specific areas, notable on rudder. ",
08,04/09/2025,Fair,Moderate,"Fair, Good",Sound,Good,,
09,07/23/2025,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,"Patches of failing paint becoming more pronounced. ",
10,10/13/2025,"Fair, Poor","Heavy, Moderate",Replaced,Sound,Polished,Installed (1) 1” Shaft HD,1
