#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,04/11/2023,Excellent,Minimal,"Fair, Good",Sound,Good,Good to fair; prop nut may need replacing on next service,
02,07/05/2023,Excellent,Minimal,"Good, Replaced",Sound,Good,Replaced prop nut anode CMPZ-A,
03,10/03/2023,Excellent,Minimal,"Fair, Good",Sound,Good,,
04,01/03/2024,Excellent,Minimal,"Good, Replaced",Sound,Polished,Replaced prop nut,
05,03/30/2024,Excellent,Minimal,Good,Sound,Good,,
06,07/06/2024,Excellent,"Minimal, Moderate","Fair, Good",Sound,Good,,
07,10/09/2024,Good,Moderate,"Fair, Good",Sound,Good,,
08,01/08/2025,Good,Minimal,"Fair, Good",Sound,Good,,
09,04/04/2025,Fair,Moderate,Fair,Sound,Good,,
10,08/07/2025,"Fair, Poor","Heavy, Moderate",Fair,Sound,Good,,
