#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,"Fair, Good",04/11/2023,Minimal,,Good to fair; prop nut may need replacing on next service,Excellent,Good,Sound
03,"Fair, Good",10/03/2023,Minimal,,,Excellent,Good,Sound
04,"Good, Replaced",01/03/2024,Minimal,,Replaced prop nut,Excellent,Polished,Sound
02,"Good, Replaced",07/05/2023,Minimal,,Replaced prop nut anode CMPZ-A,Excellent,Good,Sound
05,Good,03/30/2024,Minimal,,,Excellent,Good,Sound
06,"Fair, Good",07/06/2024,"Minimal, Moderate",,,Excellent,Good,Sound
07,"Fair, Good",10/09/2024,Moderate,,,Good,Good,Sound
08,"Fair, Good",01/08/2025,Minimal,,,Good,Good,Sound
09,Fair,04/04/2025,Moderate,,,Fair,Good,Sound
10,Fair,08/07/2025,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
