#,Anodes,Date,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Excellent,06/04/2023,44,"Trim tabs look excellent, except tiny hole in starboard tab. Not structural. ",Excellent,Good,Sound,1449,1533
02,Good,09/09/2023,64,"Paint disintegration around forward starboard thruhulls. ",Excellent,Good,Sound,1413,1517
05,"Fair, Good",03/04/2024,40,"Visibility nearly zero, no usable after video :( Checked anodes, scrubbed down running gear and hull. ",Good,Good,Sound,1220,1300
03,,12/09/2023,60,"All anodes need replacing. I will source the correct anodes and return. The paint around the forward starboard thru-hull  drains is deteriorating rapidly, possibly due to material being discharged. Try to avoid discharging harsh liquids to preserve the paint. ","Excellent, Poor",Good,Sound,1211,1311
04,Replaced,12/17/2023,66,"Replaced: 
4 x 1” streamlined shaft anodes on swim platform struts ($13),
4 x 1-1/2” streamlined shaft anodes on prop shafts ($23)
2 x 2.5” trim tab anodes on trim tabs ($10). 
Diver’s dream on transom in good condition.
Attempted to clear forward thru-hulls, but the seacocks were closed.
Trim tabs anode bolt holes should be drilled out to accept the larger bolts now standard on the 3.25”+ anodes. I can do that on the next service. In the meantime, I have installed 2.5” trim tab anodes. ",,Good,,1259,1405
06,Good,06/10/2024,46,"Cleaning complete, will return with shaft anodes ","Fair, Poor",Good,Sound,1410,1456
07,,06/23/2024,11,,,,,1705,1716
08,,09/20/2024,51,,,,,1403,1454
09,,12/10/2024,30,,,,,1411,1441
10,,06/09/2025,31,,,,,1223,1254
,,,80,,,,,1438,1558
