#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,03/06/2023,Good,Heavy,None,Sound,None,,
02,05/03/2023,Good,Moderate,None,Sound,None,,
03,07/06/2023,Good,Moderate,None,Sound,None,,
04,09/08/2023,"Fair, Good",Moderate,None,Sound,None,,
05,11/04/2023,"Fair, Good",Moderate,None,Sound,None,,
06,01/08/2024,Fair,Moderate,None,Sound,None,,
07,03/01/2024,Fair,Moderate,None,Sound,None,,
08,05/16/2024,Fair,Moderate,None,Sound,None,,
09,07/15/2024,Fair,Moderate,None,Sound,None,,
10,09/09/2024,"Fair, Poor",Moderate,None,Sound,None,,
11,11/08/2024,"Fair, Poor",Moderate,None,Sound,None,,
12,02/17/2025,"Fair, Poor",Moderate,None,Sound,None,,
13,08/06/2025,Poor,Moderate,None,Sound,None,,
