#,Anode,Anodes,Duration,Growth,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,,None,37,,"Paint is missing in large patches. Definitely time for new bottom paint ",Poor,None,Sound,1602,1639
02,,None,25,,Many small and medium blisters observed,Poor,None,Sound,1206,1231
03,,None,16,,,"Missing, Poor",None,Sound,1535,1551
04,,None,18,,,"Missing, Poor",None,Sound,1235,1253
06,,None,25,,,"Missing, Poor",None,Sound,1435,1500
05,,None,26,,,"Missing, Poor",None,Sound,1539,1605
07,,,10,,,,,,1314,1324
08,,,10,,,,,Sound,1227,1237
09,,,6,,,,,,1344,1350
10,,,8,,,,,,1409,1417
11,,,8,,,,,,1303,1311
15,,,11,,,,,,1513,1524
