#,Anodes,Anodes Installed,Date,Growth,Notes,Paint,Prop,Thru-hulls
03,None,0,09/06/2023,"Heavy, Moderate",,"Missing, Poor",None,Sound
06,None,0,03/08/2024,Heavy,,"Missing, Poor",None,Sound
07,None,0,05/07/2024,Heavy,,Missing,None,Sound
05,None,0,01/09/2024,Moderate,,"Missing, Poor",None,Sound
02,None,0,07/01/2023,Heavy,Many small and medium blisters observed,Poor,None,Sound
04,None,0,11/04/2023,Heavy,,"Missing, Poor",None,Sound
01,None,0,05/06/2023,Heavy,"Paint is missing in large patches. Definitely time for new bottom paint ",Poor,None,Sound
08,None,,07/12/2024,Heavy,,Missing,None,Sound
09,None,,10/10/2024,Minimal,,Excellent,None,Sound
10,None,,12/11/2024,Minimal,,Excellent,None,Sound
11,None,,02/20/2025,Minimal,,Excellent,None,Sound
12,None,,04/17/2025,Minimal,,Excellent,None,Sound
13,None,,06/19/2025,Minimal,,Excellent,None,Sound
14,None,,08/13/2025,Minimal,,Excellent,None,Sound
15,None,,10/20/2025,Minimal,,Good,None,Sound
