#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
01,Good,10/01/2023,Heavy,"Chunk missing from aft edge of rudder. Inflatable under bow blocking some access to hull. This was largely a “shearing” cleaning, wherein I removed the bulk of the hard growth but left a layer of algae to removed on the next service.","Fair, Poor",Good,Sound
02,Good,12/01/2023,"Heavy, Moderate","A much more time-intensive cleaning. 80% of the time is often required to get the last 20% clean. Going forward, I’m hoping cleanings will be faster now that we’ve gotten down to mostly clean paint again.","Fair, Poor",Good,Sound
03,Fair,02/07/2024,Moderate,,"Fair, Poor",Good,Sound
04,Fair,04/03/2024,"Heavy, Moderate",,"Fair, Poor",Good,Sound
05,Fair,06/13/2024,Heavy,"Paint biocide properties have failed. Hull will be sheared instead of scrubbed until repainting. This will remove protruding growth but prevent further paint from being scrubbed away. Paint will retain a “dirty” appearance after cleaning. ",Poor,Good,Sound
06,Good,08/13/2024,"Heavy, Moderate",,Poor,Good,Sound
07,Good,10/21/2024,"Heavy, Moderate",,Poor,Good,Sound
08,Good,12/11/2024,Moderate,,"Missing, Poor",Good,Sound
09,Good,02/20/2025,Moderate,,"Missing, Poor",Good,Sound
10,"Fair, Good",04/18/2025,"Heavy, Moderate",,"Missing, Poor",Good,Sound
11,"Fair, Good",06/10/2025,"Heavy, Moderate",,"Missing, Poor",Good,Sound
12,Fair,08/13/2025,"Heavy, Moderate",,"Missing, Poor",Good,Sound
13,Fair,10/20/2025,Heavy,,"Missing, Poor",Good,Sound
