#,Date,Interval,Secondary Visit,Time In,Time Out,Duration,Time Base Fee,Xtra Minutes,$ Time,# Installed,Materials,Adjustments,Total,Monthly
12,"October 22, 2025",,No,1227,1305,38,$99.00,18,$36.00,,,,$135.00,$0.00
11,,,No,1412,1449,37,$99.00,17,$34.00,,,,$133.00,$0.00
10,,,No,1327,1353,26,$99.00,6,$12.00,,,,$111.00,$0.00
09,,,No,1305,1332,27,$99.00,7,$14.00,,,,$113.00,$0.00
08,,3,No,1228,1257,29,$99.00,9,$18.00,,,,$117.00,$39.00
07,,3,No,1235,1304,29,$99.00,9,$18.00,,,,$117.00,$39.00
05,,3,No,1445,1520,35,$99.00,15,$30.00,,,$0.00,$129.00,$43.00
04,,3,No,935,1022,47,$99.00,27,$54.00,,,$0.00,$153.00,$51.00
06,,3,No,1612,1634,22,$99.00,2,$4.00,,,,$103.00,$34.00
02,,3,No,1231,1325,54,$99.00,34,$68.00,,,$0.00,$167.00,$55.00
03,,3,No,1312,1412,60,$99.00,40,$80.00,,,$0.00,$179.00,$59.00
01,,3,No,1200,1253,53,$99.00,33,$66.00,,,$0.00,$165.00,$55.00
