#,$ Materials,$ Time,Adjustments,Anodes,Base Fee,Date,Duration,Growth,Interval,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time In,Time Out,Total,Xtra Minutes
17,,$0.00,,"Fair, Good",$99.00,03/11/2024,20,Moderate,1,$99.00,,Poor,Good,No,Sound,1253,1313,$99.00,0
04,,$20.00,,Excellent,$99.00,02/09/2023,30,Moderate,1,$119.00,Replaced anodes,Poor,Good,No,Sound,1639,1709,$119.00,10
16,,$50.00,,"Good, Replaced",$99.00,02/09/2024,45,"Minimal, Moderate",1,$149.00,Replaced 7/8” X-2 streamlined shaft anode,Poor,Good,No,Sound,1333,1418,$149.00,25
09,,$26.00,,Fair,$99.00,07/03/2023,33,"Heavy, Moderate",1,$125.00,,Poor,Good,No,Sound,1658,1731,$125.00,13
07,,$22.00,,"Fair, Good",$99.00,05/01/2023,31,Moderate,1,$121.00,,Poor,Good,No,Sound,1435,1506,$121.00,11
13,,$26.00,,"Fair, Replaced",$99.00,11/02/2023,33,"Heavy, Moderate",1,$125.00,Replaced 7/8” X2 shaft anode,Poor,Good,No,Sound,1413,1446,$125.00,13
11,,$24.00,,"Fair, Good",$99.00,09/11/2023,32,"Heavy, Moderate",1,$123.00,"Bottom paint has failed. Time to repaint. ",Poor,Good,No,Sound,1307,1339,$123.00,12
02,,$0.00,,,$99.00,02/01/2023,17,Moderate,1,$99.00,,Poor,Polished,No,Sound,1352,1409,$99.00,0
12,,$10.00,,"Fair, Good",$99.00,10/01/2023,25,"Heavy, Moderate",1,$109.00,,Poor,Good,No,Sound,1332,1357,$109.00,5
08,,$10.00,,"Fair, Good",$99.00,06/01/2023,25,Moderate,1,$109.00,Increasing light barnacle growth,Poor,Good,No,Sound,1219,1244,$109.00,5
14,,$36.00,,"Fair, Good",$99.00,12/01/2023,38,"Heavy, Moderate",1,$135.00,,Poor,Good,No,Sound,1418,1456,$135.00,18
01,,$18.00,,Fair,$99.00,01/03/2023,29,Heavy,1,$117.00,,Poor,Good,No,Sound,1200,1229,$117.00,9
05,,$2.00,,Excellent,$99.00,03/02/2023,21,Moderate,1,$101.00,,Poor,Good,No,Sound,1612,1633,$101.00,1
03,,$28.00,,,$99.00,02/01/2023,34,Moderate,1,$127.00,,Poor,Good,No,Sound,1448,1522,$127.00,14
10,,$32.00,,"Good, Replaced",$99.00,08/01/2023,36,"Heavy, Moderate",1,$131.00,Replaced shaft anode,Poor,Good,No,Sound,1427,1503,$131.00,16
06,,$26.00,,Excellent,$99.00,04/11/2023,33,Moderate,1,$125.00,,Poor,Good,No,Sound,1547,1620,$125.00,13
15,,$2.00,,Fair,$99.00,01/10/2024,21,Minimal,1,$101.00,,Poor,Good,No,Sound,1322,1343,$101.00,1
18,,$34.00,,"Fair, Good",$99.00,04/03/2024,37,Moderate,1,$133.00,,Poor,Good,No,Sound,1511,1548,$133.00,17
