#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,07/06/2023,Excellent,"Heavy, Minimal",Fair,Sound,Good,"I will order 4 x 6” trim tab, 4 x 2” streamline shaft, 1 or 2 thrusters (tiny trim tabs style), and return next week to install and remove barnacles on running gear. Measurements in video",
02,08/07/2023,"Excellent, Fair","Heavy, Minimal","Fair, Replaced",Sound,Good,"Thruster anodes at 80-90%. Unable to remove thruster anodes until they deteriorate further.  Transom anode to be replaced next month. Replaced all four shaft anodes. Did not replace trim tab anodes, monitoring until next service. ",
03,11/07/2023,Excellent,"Heavy, Minimal","Excellent, Fair",Sound,Good,"Replaced stern thruster anodes. Forward thruster anodes in good to fair condition, port and starboard, respectively. Trim tab anodes to be rotated top to bottom on next service. Shaft anodes excellent to good. Removed lots of hard growth from running gear, light to moderate growth on rest of hull.  ",
04,01/05/2024,Excellent,"Minimal, Moderate","Excellent, Fair",Sound,Good,Trim tab anodes in fair condition. Try to run the thrusters a little each month to keep internal growth down. Switching to three months was a good move!,
05,03/30/2024,Excellent,"Minimal, Moderate","Fair, Good",Sound,Good,"Will replace trim tab and divers dream transom plate on next service. ",
06,07/06/2024,Good,"Heavy, Moderate","Fair, Good",Sound,Good,,
07,10/02/2024,Good,"Heavy, Moderate","Fair, Good",Sound,Good,,
08,01/10/2025,Good,"Heavy, Moderate","Fair, Good",Sound,Good,"Divers dream to be replaced on next service ",
09,04/03/2025,"Fair, Good",Moderate,"Fair, Good",Sound,Good,,
10,07/24/2025,"Fair, Good","Heavy, Moderate",Good,Sound,Good,,
11,10/23/2025,Fair,Heavy,"Fair, Needs Replacement",Sound,Good,"Needs 612HD,(4) R4, (2) 2” Shaft",
