#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
01,Fair,04/14/2023,"Heavy, Moderate",Camera battery died prematurely. No “after” video this time 😞,"Excellent, Fair",Good,Sound
02,Fair,06/03/2023,"Heavy, Minimal",Prop anode needs replacing,"Excellent, Fair",Good,Sound
03,"Good, Replaced",06/13/2023,Minimal,Replaced FX Flexofold Propeller Zinc Anode,"Excellent, Fair",Good,
04,Good,08/03/2023,"Heavy, Moderate","Recommend raising waterline about 3-4” on next haul out ",Fair,"Good, Polished",Sound
07,Fair,02/08/2024,Moderate,Time to repaint and raise the waterline!,Poor,Good,Sound
06,Fair,12/09/2023,"Heavy, Moderate","Widespread embedded algae and increasing labor time indicates it’s getting time to repaint! ","Fair, Poor",Good,Sound
05,Good,10/05/2023,"Heavy, Moderate",Same recommendation for raising waterline,Fair,Good,Sound
08,Poor,04/09/2024,"Heavy, Moderate",Will return to replace prop anode,"Missing, Poor",Good,Sound
09,Good,07/15/2024,Minimal,,Excellent,Polished,Sound
10,"Fair, Good",09/21/2024,Minimal,,Excellent,Good,Sound
11,"Fair, Good",11/08/2024,Minimal,,Excellent,Good,Sound
12,Good,01/14/2025,Minimal,,Good,Good,Sound
13,"Fair, Good",03/18/2025,Moderate,"Will install prop anode next visit ",Good,Good,Sound
14,"Good, Missing",05/14/2025,Moderate,Will return to replace prop zinc,"Fair, Good",Good,Sound
15,"Good, Replaced",07/08/2025,Moderate,,"Fair, Good",Good,Sound
16,"Good, Missing",09/23/2025,"Heavy, Moderate",Will return to replace prop zinc,Fair,Good,Sound
