#,$ Materials,$ Time,Adjustments,Anodes,Base Fee,Date,Duration,Growth,Interval,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time In,Time Out,Total,Xtra Minutes
01,,$8.00,,Good,$99.00,01/06/2023,24,Moderate,2,$53.00,"Some cracking along the axis of the rudder post
Paint chip appears to be missing on the port aft quarter in two locations",Excellent,None,No,Sound,1200,1224,$107.00,4
03,,$10.00,,Good,$99.00,05/02/2023,25,Minimal,2,$54.00,,Excellent,None,No,Sound,1448,1513,$109.00,5
04,,$22.00,,Good,$99.00,07/01/2023,31,Minimal,2,$60.00,,Excellent,None,No,Sound,1128,1159,$121.00,11
02,,$0.00,,Good,$99.00,03/02/2023,15,Minimal,2,$49.00,,Excellent,None,No,Sound,1640,1655,$99.00,0
05,,$10.00,,Good,$99.00,09/06/2023,25,Minimal,2,$54.00,,Excellent,None,No,Sound,1556,1621,$109.00,5
06,,$6.00,,Good,$99.00,11/02/2023,23,Minimal,2,$52.00,,"Excellent, Good",None,No,Sound,1041,1104,$105.00,3
07,,$0.00,,Good,$99.00,01/07/2024,20,"Minimal, Moderate",2,$49.00,,"Excellent, Good",None,No,Sound,1233,1253,$99.00,0
08,$0.00,$0.00,$0.00,Good,$99.00,03/08/2024,17,"Minimal, Moderate",2,$49.00,,Good,None,No,Sound,1420,1437,$99.00,0
08,,$0.00,,Good,$99.00,05/02/2024,19,Moderate,2,$49.00,,Fair,None,No,Sound,1436,1455,$99.00,0
09,,$0.00,,Good,$99.00,07/12/2024,15,Moderate,2,$49.00,,Fair,None,No,Sound,1248,1303,$99.00,0
10,,$0.00,,Good,$99.00,09/13/2024,20,"Heavy, Moderate",2,$49.00,,"Fair, Poor",None,No,Sound,1200,1220,$99.00,0
