#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
01,Good,02/04/2023,Moderate,Observational visit only. No charge.,"Fair, Good",Good,Sound
02,Good,04/04/2023,Moderate,,"Fair, Good",Good,Sound
05,Good,07/02/2023,Moderate,,Good,Good,Sound
03,Fair,05/04/2023,"Minimal, Moderate",,"Fair, Good",Good,Sound
04,Fair,06/05/2023,"Minimal, Moderate",,"Excellent, Fair",Good,Sound
07,"Fair, Good",09/09/2023,Moderate,Additional scrubbing required to remove tenacious growth.,Fair,Good,Sound
06,Good,08/02/2023,Moderate,,"Fair, Good",Polished,Sound
08,"Good, Replaced",10/06/2023,Moderate,"Replaced hull anode, starboard side: Diver’s Dream Mini",Fair,Good,Sound
09,"Excellent, Fair",11/04/2023,"Minimal, Moderate","Will replace strut anode (3-4” trimtab style) on next service, and possibly shaft anode as well. ",Fair,Good,Sound
10,"Good, Replaced",12/05/2023,"Minimal, Moderate","Replaced strut anode with 3” trim tab style ",Fair,Good,Sound
11,"Good, Replaced",01/07/2024,"Minimal, Moderate","Electrolysis beginning on prop. I suspect the anode on the prop shaft has become ineffective for some reason. Installed an additional new 1-1/8” heavy duty streamlined on prop shaft. Let’s see if that improves things. ",Fair,Possible Issue,Sound
12,Good,02/05/2024,Minimal,"Very light electrolysis appears to be continuing on the prop. None of my prop anodes fit this prop nut, but I will search around to see if one exists that will. ",Fair,Possible Issue,Sound
13,"Fair, Good",03/07/2024,Minimal,,Fair,Good,Sound
14,"Fair, Good",04/10/2024,"Heavy, Minimal","No new electrolysis on prop. Shaft anode appears to be working. Will replace on next service. ",Fair,Good,Sound
15,"Good, Replaced",05/16/2024,Moderate,Installed streamlined heavy duty 1-1/8” shaft anode,Fair,Good,Sound
16,Good,06/12/2024,Moderate,,"Fair, Poor",Good,Sound
17,Good,07/08/2024,Moderate,,"Fair, Poor",Good,Sound
18,Good,08/08/2024,Moderate,,"Fair, Poor",Good,Sound
19,"Fair, Good",09/14/2024,Moderate,,"Fair, Poor",Good,Sound
20,"Fair, Good",10/18/2024,Moderate,,"Fair, Poor",Good,Sound
21,"Fair, Good",11/21/2024,Moderate,,"Fair, Poor",Good,Sound
22,"Fair, Good",12/12/2024,Moderate,,"Fair, Poor",Good,Sound
23,"Fair, Good",02/12/2025,Moderate,,"Fair, Poor",Good,Sound
24,"Fair, Good",03/24/2025,Moderate,,"Fair, Poor",Good,Sound
25,"Fair, Good",04/17/2025,Moderate,,"Fair, Poor",Good,Sound
26,"Fair, Good",05/13/2025,Moderate,,"Fair, Poor",Good,Sound
27,"Fair, Good",06/06/2025,Moderate,,"Fair, Poor",Good,Sound
28,Fair,08/11/2025,Heavy,,Poor,Good,Sound
29,Fair,09/22/2025,Moderate,,Poor,Good,Sound
30,Replaced,10/17/2025,Moderate,"Installed R2 on strut, 1-1/8” heavy duty on shaft",Poor,Good,Sound
