#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Fair,60,"Shaft loose in cutlass bearing as noted. Some blisters observed on rudder (visible in video). Widespread embedded black algae indicates anti-fouling properties are failing. Paint is worn through in several areas, including bottom of keel and waterline. Appears to be ablative.","Fair, Poor",Good,Sound,1659,1759
03,Excellent,45,Cutlass bearing has excessive play. Recommend replacement.,"Fair, Poor",Good,Possible Issue,1315,1400
02,"Missing, Replaced",50,"Shaft loose in cutlass bearing ","Fair, Poor",Good,Sound,1345,1435
05,Fair,30,,Poor,Good,Sound,1225,1255
04,Good,63,"Starboard cutlass bearing set screw missing. I was able to work the cutlass bearing mostly back into place, but it likely won’t stay without the screw. If you can source it, let me know and I’ll install it. ",Poor,Good,Possible Issue,1317,1420
06,Fair,32,"Forward starboard cockpit drain occluded. Possible thru-hull closure. Paint is providing little to no protection. ","Missing, Poor",Good,Sound,1618,1650
07,Fair,35,"Found both grub screws are stripped. Cutlass bearing is turning with the prop shaft. I recommend hauling out to address this ASAP. ","Missing, Poor",Good,Possible Issue,1204,1239
08,,28,,,,,1336,1404
09,,20,,,,,1236,1256
10,,27,,,,,1311,1338
