#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Excellent,0,"One area about 2""x3"" looks like paint chipped off, port side about mid ship.",Good,,,,
02,Good,0,Speedo is super speedy.,Good,,Sound,,
04,Good,25,,Excellent,Good,Sound,1227,1252
03,Good,4,,Excellent,Good,Sound,1224,1228
05,Good,43,Replaced shaft anode (owner supplied),Excellent,Good,Sound,1647,1730
06,Excellent,20,"Starboard aft quarter waterline is submerged. Heavy growth starting on bootstripe and gel coat in this area. ",Excellent,Good,Sound,1250,1310
07,Excellent,21,"Starboard aft quarter waterline is submerged. Heavy growth starting on bootstripe and gel coat in this area. ",Excellent,Good,Sound,1307,1328
09,Good,24,,Excellent,Good,Sound,1825,1849
08,Good,26,,Excellent,Good,Sound,1506,1532
10,Good,31,,Excellent,Good,Sound,1053,1124
12,Fair,24,"Prop anode still fair. ",Excellent,Good,Sound,1148,1212
11,Fair,23,,Excellent,Good,Sound,1257,1320
13,Fair,27,"Shaft anode 1” LC. Will replace on next service. ",Excellent,Polished,Sound,1412,1439
14,Replaced,19,,Excellent,Good,Sound,1702,1721
16,Excellent,16,,Excellent,Good,Sound,1209,1225
15,Excellent,20,,Excellent,Good,Sound,1410,1430
17,Good,19,,Good,Good,Sound,1458,1517
18,Good,20,,Good,Good,Sound,1553,1613
19,,17,,,,,1330,1347
20,,20,,,,,1200,1220
21,,18,,,,,1330,1348
22,,5,,,,,1300,1305
23,,7,,,,,1521,1528
24,,13,,,,,1356,1409
25,,10,,,,,1441,1451
26,,0,,,,,,
31,,18,,,,,1505,1523
