#,Date,Interval,Secondary Visit,Time In,Time Out,Duration,Time Base Fee,Xtra Minutes,$ Time,# Installed,Materials,Adjustments,Total,Monthly
13,,,No,1335,1355,20,$99.00,0,$0.00,,,,$99.00,$0.00
09,,,No,1308,1326,18,$99.00,0,$0.00,,,,$99.00,$0.00
08,"November 15, 2024",,No,1221,1237,16,$99.00,0,$0.00,,,,$99.00,$0.00
08,"September 23, 2024",2,No,1212,1240,28,$99.00,8,$16.00,,,,$115.00,$57.00
07,,2,No,1354,1415,21,$99.00,1,$2.00,,,,$101.00,$50.00
04,,1,No,1404,1432,28,$99.00,8,$16.00,,,,$115.00,$115.00
06,,2,No,1516,1543,27,$99.00,7,$14.00,,,,$113.00,$56.00
05,,1,No,1537,1557,20,$99.00,0,$0.00,,,$0.00,$99.00,$99.00
05,,1,No,1453,1520,27,$99.00,7,$14.00,,,$0.00,$113.00,$113.00
03,,1,No,1655,1724,29,$99.00,9,$18.00,,,,$117.00,$117.00
02,,1,No,1543,1606,23,$99.00,3,$6.00,,,,$105.00,$105.00
01,,1,No,1201,1221,20,$99.00,0,$0.00,,,,$99.00,$99.00
