#,Time In,Time Out,Duration,Time Base Fee,Xtra Minutes,$ Time,# Installed,Materials,Adjustments,Total,Monthly
14,1520,1555,35,,,$0.00,,,,,
13,1333,1356,23,,,$0.00,,,,,
12,1230,1257,27,,,$0.00,,,,,
11,1447,1506,19,,,$0.00,,,,,
10,1506,1537,31,,,$0.00,,,,,
09,1130,1200,30,,,$0.00,,,,,
08,1540,1610,30,,,$0.00,,,,,
06,1411,1440,29,,,$0.00,,,,,
07,1336,1350,14,,,$0.00,,,,,
05,1340,1455,75,,,$0.00,,,,,
04,1329,1433,64,,,$0.00,,,,,
02,1309,1353,44,,,$0.00,,,,,
03,1541,1621,40,,,$0.00,,,,,
01,1300,1350,50,,,$0.00,,,,,
