#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Good,40,"Sheared down growth on this service, will conduct a fine cleaning on the next service","Fair, Poor",Good,Sound,0,40
03,Good,47,"Tightened prop anode. ","Fair, Poor",Good,Sound,1358,1445
06,"Fair, Good",41,"waterline should be raised all around to prevent growth on topsides. CmpzC prop nut and 3” trim tab anode may need to be replaced on next service. ","Fair, Poor",Good,Sound,1228,1309
05,Good,27,,"Fair, Poor",Good,Sound,1628,1655
07,"Fair, Good",30,,"Fair, Poor",Good,Sound,1410,1440
04,Good,25,,Poor,Good,Sound,1233,1258
11,"Fair, Good",19,,Poor,Good,Sound,1302,1321
10,,19,,Poor,Good,Sound,1057,1116
09,"Fair, Good",15,"Heavy barnacle growth
","Fair, Poor",Good,Sound,1516,1531
08,"Fair, Good",34,,"Fair, Poor",Good,Sound,1353,1427
02,Good,60,"Polished prop and anode-mating surfaces
Replaced both anodes.
01/06/2023
Time: (~60 minutes)
Paint in fair to poor condition overall, will know better on the next service
Heavy three-dimensional growth
The prop anode is in good condition, and will tighten on the next service
https://www.notion.so/24eb23ebf791460e987fa6f623b523f8?pvs=21","Fair, Poor",Good,Sound,1619,1719
12,,15,,,,,1136,1151
13,,11,,,,,1517,1528
14,,12,,,,,1543,1555
