#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,06/04/2023,Excellent,"Minimal, Moderate",Excellent,Sound,Good,"Trim tabs look excellent, except tiny hole in starboard tab. Not structural. "
02,09/09/2023,Excellent,"Heavy, Minimal",Good,Sound,Good,"Paint disintegration around forward starboard thruhulls. "
03,12/09/2023,"Excellent, Poor","Heavy, Minimal",Poor,Sound,Good,"All anodes need replacing. I will source the correct anodes and return. The paint around the forward starboard thru-hull  drains is deteriorating rapidly, possibly due to material being discharged. Try to avoid discharging harsh liquids to preserve the paint. "
04,12/17/2023,Not Evaluated,Not Evaluated,Replaced,Not Evaluated,Good,"Replaced: 
4 x 1” streamlined shaft anodes on swim platform struts ($13),
4 x 1-1/2” streamlined shaft anodes on prop shafts ($23)
2 x 2.5” trim tab anodes on trim tabs ($10). 
Diver’s dream on transom in good condition.
Attempted to clear forward thru-hulls, but the seacocks were closed.
Trim tabs anode bolt holes should be drilled out to accept the larger bolts now standard on the 3.25”+ anodes. I can do that on the next service. In the meantime, I have installed 2.5” trim tab anodes. "
05,03/04/2024,Good,"Minimal, Moderate","Fair, Good",Sound,Good,"Visibility nearly zero, no usable after video :( Checked anodes, scrubbed down running gear and hull. "
06,06/10/2024,"Good, Poor","Heavy, Moderate","Good, Poor",Sound,Good,"Cleaning complete, will return with shaft anodes "
07,06/23/2024,,,Replaced,,,"Installed 2x 1.5” heavy duty shaft anodes "
08,09/20/2024,"Good, Poor","Heavy, Moderate","Fair, Good",Sound,Good,
09,12/10/2024,"Good, Poor",Moderate,"Good, Replaced",Sound,Good,Installed 1x 1.5” heavy duty streamline on port prop shaft
10,03/07/2025,"Good, Poor",Moderate,Good,Sound,Good,
11,06/09/2025,"Good, Poor",Moderate,Fair,Sound,Good,"Shaft  anodes likely need replacing on next service "
12,09/29/2025,"Fair, Good",Moderate,Replaced,Possible Issue,Good,Installed (4) 1-1/2” heavy duty streamlined shaft and 612HD hull anodes
