#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
09,"Good, Replaced",12/10/2024,Moderate,Installed 1x 1.5” heavy duty streamline on port prop shaft,"Good, Poor",Good,Sound
08,"Fair, Good",09/20/2024,"Heavy, Moderate",,"Good, Poor",Good,Sound
06,"Good, Poor",06/10/2024,"Heavy, Moderate","Cleaning complete, will return with shaft anodes ","Good, Poor",Good,Sound
02,Good,09/09/2023,"Heavy, Minimal","Paint disintegration around forward starboard thruhulls. ",Excellent,Good,Sound
04,Replaced,12/17/2023,Not Evaluated,"Replaced: 
4 x 1” streamlined shaft anodes on swim platform struts ($13),
4 x 1-1/2” streamlined shaft anodes on prop shafts ($23)
2 x 2.5” trim tab anodes on trim tabs ($10). 
Diver’s dream on transom in good condition.
Attempted to clear forward thru-hulls, but the seacocks were closed.
Trim tabs anode bolt holes should be drilled out to accept the larger bolts now standard on the 3.25”+ anodes. I can do that on the next service. In the meantime, I have installed 2.5” trim tab anodes. ",Not Evaluated,Good,Not Evaluated
03,Poor,12/09/2023,"Heavy, Minimal","All anodes need replacing. I will source the correct anodes and return. The paint around the forward starboard thru-hull  drains is deteriorating rapidly, possibly due to material being discharged. Try to avoid discharging harsh liquids to preserve the paint. ","Excellent, Poor",Good,Sound
01,Excellent,06/04/2023,"Minimal, Moderate","Trim tabs look excellent, except tiny hole in starboard tab. Not structural. ",Excellent,Good,Sound
05,"Fair, Good",03/04/2024,"Minimal, Moderate","Visibility nearly zero, no usable after video :( Checked anodes, scrubbed down running gear and hull. ",Good,Good,Sound
11,Fair,06/09/2025,Moderate,"Shaft  anodes likely need replacing on next service ","Good, Poor",Good,Sound
07,Replaced,06/23/2024,,"Installed 2x 1.5” heavy duty shaft anodes ",,,
10,Good,03/07/2025,Moderate,,"Good, Poor",Good,Sound
12,Replaced,09/29/2025,Moderate,Installed (4) 1-1/2” heavy duty streamlined shaft and 612HD hull anodes,"Fair, Good",Good,Possible Issue
