#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,"Fair, Good",44,"Keel is sound with normal paint wear along bottom and leading edges. ","Excellent, Fair",Good,Sound,1027,1111
03,"Fair, Good",36,"Rotated strut  anode from port to starboard. One shaft anode may be ready for replacement on next service. Rapid deterioration of paint on keel, especially on port side. ","Fair, Good",Polished,Sound,1249,1325
02,Good,33,,"Excellent, Good","Good, Polished",Sound,1134,1207
05,Good,33,Both sides of strut anode are in place,Fair,Good,Sound,1507,1540
04,"Good, Replaced",32,Installed 3” rudder zinc on strut,"Fair, Poor",Good,Sound,1444,1516
06,"Fair, Good",33,,"Fair, Poor",Good,Sound,1507,1540
08,"Fair, Good",30,,"Fair, Missing",Good,Sound,1345,1415
07,"Fair, Good",25,,"Fair, Missing",Good,Sound,1312,1337
09,,10,,,,,1508,1518
10,,14,,,,,1322,1336
11,,11,,,,,1417,1428
13,,13,,,,,1550,1603
14,,20,,,,,1435,1455
18,,19,,,,,1444,1503
