#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Fair,01/11/2023,Heavy,,"Attention: widespread osmotic blistering on rudder, keel and hull. All appear to be roughly dime-sized.",Poor,Good,Sound
02,Fair,03/03/2023,Moderate,,,Poor,Good,Sound
03,Fair,05/04/2023,"Heavy, Moderate",,,Poor,Good,Sound
04,Fair,07/02/2023,Heavy,," Barnacles may be penetrating the fiberglass ",Poor,Good,Sound
05,"Fair, Good",09/08/2023,"Heavy, Moderate",,"Paint has failed. Widespread blistering and shelled animal growth ",Poor,Good,Sound
06,"Fair, Good",11/03/2023,"Heavy, Moderate",,,Poor,Good,Sound
07,"Fair, Good",01/09/2024,"Heavy, Moderate",,,Poor,Good,Sound
08,"Fair, Good",03/11/2024,Moderate,,,"Missing, Poor",Good,Sound
09,Fair,05/02/2024,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
10,"Fair, Good",07/12/2024,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
12,Fair,11/13/2024,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
11,Fair,09/23/2024,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
13,Fair,01/16/2025,"Heavy, Moderate",,,"Missing, Poor",Good,Sound
