#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,04/09/2023,"Fair, Good",Heavy,Fair,Sound,Good,,
02,05/05/2023,Fair,Moderate,Fair,Sound,Good,,
03,06/03/2023,"Fair, Poor",Moderate,Fair,Sound,Good,"Paddlewheel appears to be installed out of alignment. ",
04,07/06/2023,"Fair, Poor","Minimal, Moderate",Good,Sound,Good,,
05,08/04/2023,"Fair, Poor","Minimal, Moderate",Good,Sound,Good,,
06,09/09/2023,"Fair, Poor",Moderate,Fair,Sound,Good,,
07,10/05/2023,"Fair, Poor",Moderate,Fair,Sound,Good,,
08,11/05/2023,"Fair, Poor",Moderate,Good,Sound,Good,,
09,12/06/2023,"Fair, Poor",Moderate,Fair,Sound,Good,"Would be time to replace shaft anode on next service. ",
10,01/09/2024,"Fair, Poor",Moderate,"Fair, Replaced",Sound,Good,Installed 1” heavy streamlined shaft anode,
11,02/09/2024,"Missing, Poor","Minimal, Moderate",Excellent,Sound,Good,"Paint wearing through in several areas. Bottom in need of repainting. ",
12,03/05/2024,"Missing, Poor","Minimal, Moderate",Good,Sound,Good,"Widespread embedded black algae in paint, indicative of anti-fouling properties failure. Cleaning will involve removing surface growth only to preserve paint coverage. ",
13,07/10/2024,Excellent,Minimal,Good,Sound,Good,,
14,09/09/2024,Excellent,Minimal,"Fair, Good",Sound,Good,,
15,11/11/2024,Excellent,Minimal,"Fair, Good",Sound,Good,,
16,01/16/2025,Excellent,"Minimal, Moderate","Fair, Good",Sound,Good,,
17,03/24/2025,"Excellent, Good","Minimal, Moderate","Fair, Good",Sound,Good,,
18,05/15/2025,"Excellent, Good","Minimal, Moderate","Good, Missing",Sound,Good,Will return with prop anode,
19,07/08/2025,"Excellent, Good","Minimal, Moderate","Good, Replaced",Sound,Good,Installed 63mm Maxprop zinc anode,
