#,Anodes,Date,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Good,04/14/2023,62,Keel paint in very poor condition.,"Fair, Poor",Good,Sound,1051,1153
02,Good,06/04/2023,35,Paint missing in patches around the hull.,"Good, Poor",Good,Sound,1413,1448
03,"Good, Replaced",08/05/2023,60,"Replaced shaft anodes. Paint missing along waterline and large areas of keel where rust is prominent. ","Fair, Missing",Polished,Sound,1355,1455
05,Missing,12/08/2023,51,Shaft anodes absent. Will procure and replace post-haste!,"Fair, Missing",Good,Sound,1512,1603
04,Fair,10/08/2023,47,,"Fair, Poor",Good,Sound,1308,1355
06,Replaced,12/17/2023,5,Installed 1” heavy streamlined shaft anode,,Good,,1400,1405
07,Fair,02/03/2024,34,,"Fair, Missing",Good,Sound,1450,1524
08,Replaced,03/31/2024,35,Installed 1” heavy streamlined shaft anode,"Fair, Missing",Good,Sound,1505,1540
09,Good,06/10/2024,5,"Just a quick knocking of if the big stuff so you’ll have good maneuverability and won’t be charged excessive growth fees by the yard. Have a great haulout! ","Fair, Missing",Good,Sound,1405,1410
11,"Fair, Good",11/12/2024,16,,Excellent,Good,Sound,1308,1324
10,"Fair, Replaced",09/20/2024,29,,Excellent,Good,Sound,1333,1402
12,,,22,,,,,1340,1402
13,,,25,,,,,1530,1555
15,,,25,,,,,1330,1355
16,,,24,,,,,1414,1438
