#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Good,04/14/2023,"Heavy, Moderate",,Keel paint in very poor condition.,"Fair, Poor",Good,Sound
02,Good,06/04/2023,"Heavy, Moderate",,Paint missing in patches around the hull.,"Good, Poor",Good,Sound
04,Fair,10/08/2023,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
03,"Good, Replaced",08/05/2023,"Heavy, Moderate",,"Replaced shaft anodes. Paint missing along waterline and large areas of keel where rust is prominent. ","Fair, Missing",Polished,Sound
05,Missing,12/08/2023,"Heavy, Minimal",,Shaft anodes absent. Will procure and replace post-haste!,"Fair, Missing",Good,Sound
06,Replaced,12/17/2023,Not Evaluated,,Installed 1” heavy streamlined shaft anode,,Good,
08,Replaced,03/31/2024,"Minimal, Moderate",,Installed 1” heavy streamlined shaft anode,"Fair, Missing",Good,Sound
07,Fair,02/03/2024,"Minimal, Moderate",,,"Fair, Missing",Good,Sound
10,"Fair, Replaced",09/20/2024,Minimal,,,Excellent,Good,Sound
09,Good,06/10/2024,"Heavy, Moderate",,"Just a quick knocking of if the big stuff so you’ll have good maneuverability and won’t be charged excessive growth fees by the yard. Have a great haulout! ","Fair, Missing",Good,Sound
11,"Fair, Good",11/12/2024,Minimal,,,Excellent,Good,Sound
12,Replaced,01/08/2025,Minimal,,,Excellent,Good,Sound
13,"Fair, Good",03/07/2025,Minimal,,,"Excellent, Good",Good,Sound
14,Good,05/12/2025,Moderate,,,Good,Good,Sound
15,"Fair, Good",07/17/2025,Moderate,,,Good,Good,Sound
16,Good,09/29/2025,Moderate,,,"Fair, Good",Good,Sound
