#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,06/01/2023,Missing,Severe,None,Sound,None,"Widespread very heavy hard shelled animal growth. Haul out is urgent. "
02,08/01/2023,Missing,Severe,None,Sound,None,
03,10/01/2023,Missing,Severe,None,Possible Issue,None,"Equipment malfunction on 10-1, returned 10-9 (1104-1114) to finish. Speed sensor arm on starboard side next to the keel is a bit loose."
04,12/03/2023,Missing,Severe,None,Possible Issue,None,
05,02/07/2024,Missing,Severe,None,Possible Issue,None,
06,04/03/2024,Missing,Severe,None,Possible Issue,None,
07,06/13/2024,Missing,Severe,None,Possible Issue,None,
08,08/12/2024,Missing,Severe,None,Sound,None,
09,10/10/2024,Missing,Severe,None,Sound,None,
10,12/11/2024,Missing,Heavy,None,Sound,None,
11,02/20/2025,Missing,Heavy,None,Sound,None,
12,04/18/2025,Missing,Heavy,None,Sound,None,
13,06/10/2025,Missing,Heavy,None,Sound,None,
14,08/13/2025,Missing,Heavy,None,Sound,None,
